RCDTS,School_ID,SCHOOL,BUDGET_1819,INCREASE,BUDGET_1718,IS_CHARTER
"""15016299025268C""","400,120",ACERO - CLEMENTE_’(CHARTER),"$6,342,887 ",-0.3,"$6,361,973 ",1
"""15016299025049C""","400,121",ACERO - DE LA CRUZ_’(CHARTER),"$7,452,310 ",-7.5,"$8,056,551 ",1
"""15016299025262C""","400,081",ACERO - DE LAS CASAS_’(CHARTER),"$3,253,579 ",-0.6,"$3,273,218 ",1
"""15016299025261C""","400,082",ACERO - FUENTES_’(CHARTER),"$6,335,654 ",-1.3,"$6,419,102 ",1
"""15016299025085C""","400,085",ACERO - GARCIA HS_’(CHARTER),"$6,842,441 ",-4.9,"$7,194,996 ",1
"""15016299025284C""","400,112",ACERO - IDAR_’(CHARTER),"$6,656,579 ",-0.2,"$6,669,919 ",1
"""15016299025263C""","400,089",ACERO - MARQUEZ_’(CHARTER),"$6,746,122 ",0.9,"$6,685,948 ",1
"""15016299025259C""","400,083",ACERO - PAZ_’(CHARTER),"$4,033,686 ",-6.7,"$4,323,350 ",1
"""15016299025267C""","400,114",ACERO - SANTIAGO_’(CHARTER),"$3,383,253 ",1.5,"$3,333,254 ",1
"""15016299025086C""","400,149",ACERO - SOTO HS_’(CHARTER),"$6,216,071 ",-6.5,"$6,648,204 ",1
"""15016299025260C""","400,084",ACERO - TAMAYO_’(CHARTER),"$3,434,966 ",1.6,"$3,380,872 ",1
"""15016299025285C""","400,080",ACERO - TORRES_’(CHARTER),"$6,820,671 ",0.5,"$6,786,737 ",1
"""15016299025264C""","400,079",ACERO - ZIZUMBO_’(CHARTER),"$7,305,708 ",-0.1,"$7,313,021 ",1
"""150162990252051""","609,772",ADDAMS,"$4,907,617 ",1.38,"$4,840,814 ",0
"""150162990252052""","609,773",AGASSIZ,"$4,008,545 ",0.4,"$3,992,575 ",0
"""15016299025214C""","400,060",AHS - PASSAGES_’(CHARTER),"$4,558,599 ",-5.1,"$4,803,582 ",1
"""150162990250848""","610,513",AIR FORCE HS,"$3,124,679 ",1.29,"$3,084,884 ",0
"""150162990252850""","610,212",ALBANY PARK,"$2,376,573 ",6.99,"$2,221,304 ",0
"""150162990252053""","609,774",ALCOTT ES,"$4,647,066 ",4.65,"$4,440,579 ",0
"""150162990250849""","610,524",ALCOTT HS,"$2,269,665 ",4.65,"$2,168,815 ",0
"""150162990252054""","609,848",ALDRIDGE,"$1,608,494 ",6.54,"$1,509,756 ",0
"""150162990250001""","609,695",AMUNDSEN HS,"$10,860,365 ",6.82,"$10,166,977 ",0
"""150162990252895""","609,951",ARIEL,"$4,095,454 ",4.39,"$3,923,224 ",0
"""150162990252058""","609,777",ARMOUR,"$2,196,714 ",10.75,"$1,983,489 ",0
"""150162990252059""","609,779",ARMSTRONG G,"$9,561,094 ",1.81,"$9,391,115 ",0
"""150162990252922""","610,287",ASHBURN,"$4,196,682 ",-2,"$4,282,329 ",0
"""150162990252437""","610,268",ASHE,"$2,355,444 ",-0.45,"$2,366,091 ",0
"""15016299025079C""","400,172",ASPIRA - BUSINESS & FINANCE HS(CHARTER),"$8,004,715 ",26.6,"$6,322,840 ",1
"""15016299025074C""","400,013",ASPIRA - EARLY COLLEGE HS_’(CHARTER),"$4,654,676 ",-7.8,"$5,048,456 ",1
"""15016299025110C""","400,017",ASPIRA - HAUGAN_’(CHARTER),"$3,242,073 ",-28.5,"$4,534,368 ",1
"""150162990252062""","609,782",AUDUBON,"$3,494,841 ",2.42,"$3,412,264 ",0
"""150162990250844""","610,518",AUSTIN CCA,"$2,672,914 ",-1.29,"$2,707,845 ",0
"""150162990252063""","609,786",AVALON PARK,"$2,325,737 ",2.5,"$2,269,012 ",0
"""150162990252966""","610,544",AZUELA,"$6,337,043 ",-1.21,"$6,414,660 ",0
"""150162990250014""","610,563",BACK OF THE YARDS HS,"$8,532,613 ",3.13,"$8,273,648 ",0
"""150162990252066""","609,788",BARNARD,"$2,616,743 ",0.93,"$2,592,632 ",0
"""150162990252067""","609,789",BARRY,"$4,928,075 ",6.07,"$4,646,059 ",0
"""150162990252068""","609,790",BARTON,"$3,204,115 ",4.65,"$3,061,744 ",0
"""150162990252069""","609,791",BASS,"$3,358,273 ",3.83,"$3,234,396 ",0
"""150162990252070""","609,792",BATEMAN,"$6,874,746 ",2.5,"$6,707,069 ",0
"""150162990253760""","610,083",BEARD,"$3,082,579 ",1.39,"$3,040,319 ",0
"""150162990252800""","610,246",BEASLEY,"$8,095,499 ",0.87,"$8,025,676 ",0
"""150162990252078""","609,796",BEAUBIEN,"$7,068,778 ",2.55,"$6,893,006 ",0
"""150162990252079""","610,237",BEETHOVEN,"$2,748,707 ",-3.75,"$2,855,799 ",0
"""150162990252080""","609,797",BEIDLER,"$3,096,795 ",-3.54,"$3,210,445 ",0
"""150162990252081""","609,798",BELDING,"$4,044,820 ",4.97,"$3,853,310 ",0
"""150162990252082""","609,799",BELL,"$6,687,773 ",2.55,"$6,521,475 ",0
"""150162990252923""","609,922",BELMONT-CRAGIN,"$2,850,042 ",3.32,"$2,758,461 ",0
"""150162990252083""","609,800",BENNETT,"$2,204,886 ",1.68,"$2,168,456 ",0
"""150162990252086""","610,350",BLACK,"$3,334,313 ",0.69,"$3,311,464 ",0
"""150162990252087""","609,803",BLAINE,"$5,567,247 ",15.61,"$4,815,541 ",0
"""150162990253761""","610,087",BLAIR,"$3,359,864 ",4.63,"$3,211,186 ",0
"""150162990250003""","609,698",BOGAN HS,"$7,540,895 ",-0.18,"$7,554,493 ",0
"""150162990252088""","610,238",BOND,"$2,738,058 ",2.81,"$2,663,221 ",0
"""150162990252089""","609,804",BOONE,"$6,602,233 ",7.04,"$6,168,005 ",0
