School_ID,Short_Name,Long_Name,School_Type,Primary_Category,Student_Growth_Rating,Growth_Reading_Grades_Tested_Pct_ES,Growth_Math_Grades_Tested_Pct_ES,Student_Attainment_Rating,Attainment_Reading_Pct_ES,Attainment_Math_Pct_ES,Culture_Climate_Rating,School_Survey_Student_Response_Rate_Pct,School_Survey_Student_Response_Rate_Avg_Pct,School_Survey_Teacher_Response_Rate_Pct,School_Survey_Teacher_Response_Rate_Avg_Pct,School_Survey_Parent_Response_Rate_Pct,NWEA_Reading_Growth_Grade_3_Pct,NWEA_Reading_Growth_Grade_4_Pct,NWEA_Reading_Growth_Grade_5_Pct,NWEA_Reading_Growth_Grade_6_Pct,NWEA_Reading_Growth_Grade_7_Pct,NWEA_Reading_Growth_Grade_8_Pct,NWEA_Math_Growth_Grade_3_Pct,NWEA_Math_Growth_Grade_4_Pct,NWEA_Math_Growth_Grade_5_Pct,NWEA_Math_Growth_Grade_6_Pct,NWEA_Math_Growth_Grade_7_Pct,NWEA_Math_Growth_Grade_8_Pct,NWEA_Reading_Attainment_Grade_2_Pct,NWEA_Reading_Attainment_Grade_3_Pct,NWEA_Reading_Attainment_Grade_4_Pct,NWEA_Reading_Attainment_Grade_5_Pct,NWEA_Reading_Attainment_Grade_6_Pct,NWEA_Reading_Attainment_Grade_7_Pct,NWEA_Reading_Attainment_Grade_8_Pct,NWEA_Math_Attainment_Grade_2_Pct,NWEA_Math_Attainment_Grade_3_Pct,NWEA_Math_Attainment_Grade_4_Pct,NWEA_Math_Attainment_Grade_5_Pct,NWEA_Math_Attainment_Grade_6_Pct,NWEA_Math_Attainment_Grade_7_Pct,NWEA_Math_Attainment_Grade_8_Pct,School_Survey_Involved_Families,School_Survey_Supportive_Environment,School_Survey_Ambitious_Instruction,School_Survey_Effective_Leaders,School_Survey_Collaborative_Teachers,School_Survey_Safety,Suspensions_Per_100_Students_Year_1_Pct,Suspensions_Per_100_Students_Year_2_Pct,Suspensions_Per_100_Students_Avg_Pct,Misconducts_To_Suspensions_Year_1_Pct,Misconducts_To_Suspensions_Year_2_Pct,Misconducts_To_Suspensions_Avg_Pct,Average_Length_Suspension_Year_1_Pct,Average_Length_Suspension_Year_2_Pct,Average_Length_Suspension_Avg_Pct,Student_Attendance_Year_1_Pct,Student_Attendance_Year_2_Pct,Student_Attendance_Avg_Pct,Teacher_Attendance_Year_1_Pct,Teacher_Attendance_Year_2_Pct,Teacher_Attendance_Avg_Pct,One_Year_Dropout_Rate_Year_1_Pct,One_Year_Dropout_Rate_Year_2_Pct,One_Year_Dropout_Rate_Avg_Pct,Freshmen_On_Track_School_Pct_Year_2,Freshmen_On_Track_CPS_Pct_Year_2,Freshmen_On_Track_School_Pct_Year_1,Freshmen_On_Track_CPS_Pct_Year_1,Graduation_4_Year_School_Pct_Year_2,Graduation_4_Year_CPS_Pct_Year_2,Graduation_4_Year_School_Pct_Year_1,Graduation_4_Year_CPS_Pct_Year_1,Graduation_5_Year_School_Pct_Year_2,Graduation_5_Year_CPS_Pct_Year_2,Graduation_5_Year_School_Pct_Year_1,Graduation_5_Year_CPS_Pct_Year_1,PSAT_9_Average,PSAT_10_Average,SAT_School_Average,SAT_District_Average,PSAT_9_Growth_Pct,PSAT_10_Growth_Pct,SAT_Growth_Pct,PSAT_9_Attainment_Pct,PSAT_10_Attainment_Pct,SAT_Attainment_Pct,College_Enrollment_School_Pct_Year_2,College_Enrollment_CPS_Pct_Year_2,College_Enrollment_School_Pct_Year_1,College_Enrollment_CPS_Pct_Year_1,College_Persistence_School_Pct_Year_2,College_Persistence_CPS_Pct_Year_2,College_Persistence_School_Pct_Year_1,College_Persistence_CPS_Pct_Year_1,Mobility_Rate_Pct,Chronic_Truancy_Pct
"610,383",SOCIAL JUSTICE HS,Greater Lawndale High School For Social Justice,Small,HS,ABOVE AVERAGE,,,BELOW EXPECTATIONS,,,ORGANIZED,90.9,82.2,88.9,80.9,37,,,,,,,,,,,,,,,,,,,,,,,,,,,VERY STRONG,NEUTRAL,NEUTRAL,NEUTRAL,STRONG,WEAK,10.1,9.3,5.8,78.9,93.1,16.3,2.5 days,2.4 days,2.0 days,90.1,89.4,92.8,89.8,89.2,90.1,2.6,2.1,7.1,93.1,88.7,96.7,87.4,76.8,74.7,71.6,73.5,77.6,77.5,87.5,73.5,805,843,866,968,93,72,40,31.9,27.1,13.3,50.8,59.8,56.6,57.9,60.5,71.9,71.1,71.6,16.6,50.3
"609,735",TILDEN HS,Edward Tilden Career Community Academy HS,Neighborhood,HS,BELOW AVERAGE,,,FAR BELOW EXPECTATIONS,,,WELL ORGANIZED,75.2,82.2,81.3,80.9,< 30%,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,NEUTRAL,STRONG,STRONG,STRONG,VERY WEAK,54.7,48.4,5.8,72.4,52.2,16.3,1.6 days,2.1 days,2.0 days,80.8,80.7,92.8,90.4,89.6,90.1,7.9,6,7.1,64.3,88.7,70.8,87.4,50,74.7,52.5,73.5,55.2,77.5,50,73.5,751,778,823,968,38,12,26,20.8,10.7,4.5,37.3,59.8,31.7,57.9,38.5,71.9,34.4,71.6,19.8,75.2
"609,805",JOPLIN,Scott Joplin Elementary School,Neighborhood,ES,FAR ABOVE AVERAGE,99,70,BELOW AVERAGE,33,26,WELL ORGANIZED,97.5,82.2,93.1,80.9,> 75%,96,99,99,99,96,99,97,40,21,47,63,97,2,24,43,25,42,59,76,2,37,22,15,11,41,65,STRONG,VERY STRONG,VERY STRONG,STRONG,VERY STRONG,NEUTRAL,2.2,0.7,5.8,26.5,9.7,16.3,2.4 days,3.0 days,2.0 days,95.1,95.6,92.8,89.5,88.6,90.1,,,,,,,,,,,73.5,,,,73.5,,,,968,,,,,,,,,,,,,,,27.1,29.1
"610,542",WEST RIDGE,West Ridge Elementary School,Neighborhood,ES,ABOVE AVERAGE,83,86,ABOVE AVERAGE,84,85,WELL ORGANIZED,90.5,82.2,69.6,80.9,< 30%,99,64,50,78,94,84,98,94,91,44,87,66,72,89,81,77,79,86,94,80,92,90,89,75,78,92,NEUTRAL,STRONG,STRONG,NEUTRAL,STRONG,STRONG,0.9,0.8,5.8,16.7,11.5,16.3,1.4 days,1.5 days,2.0 days,94.8,94.5,92.8,90.4,90.6,90.1,,,,,,,,,,,73.5,,,,73.5,,,,968,,,,,,,,,,,,,,,11,2.1
"610,592",ENGLEWOOD STEM HS,Englewood STEM High School,Neighborhood,HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"400,032",CICS - ELLISON HS,CICS - Ralph Ellison,Charter,HS,BELOW AVERAGE,,,FAR BELOW EXPECTATIONS,,,WELL ORGANIZED,81.9,82.2,86.7,80.9,< 30%,,,,,,,,,,,,,,,,,,,,,,,,,,,STRONG,NEUTRAL,STRONG,STRONG,STRONG,WEAK,,,5.8,,,16.3,,,2.0 days,91,88.7,92.8,,,,3.7,3.9,7.1,88.3,88.7,71.4,87.4,64.1,74.7,68.8,73.5,77.8,77.5,78.6,73.5,735,807,888,968,19,43,33,7.8,9.2,13.4,50.6,59.8,64.3,57.9,66.7,71.9,61,71.6,17.8,64.8
"609,871",VICK,Barbara Vick Early Childhood & Family Center,Special Education,ES,NO DATA AVAILABLE,,,NO DATA AVAILABLE,,,WELL ORGANIZED,0,82.2,86.8,80.9,71,,,,,,,,,,,,,,,,,,,,,,,,,,,VERY STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,STRONG,STRONG,NOT ENOUGH DATA,,,5.8,,,16.3,,,2.0 days,,,,89.9,89.4,90.1,,,,,,,,,,,73.5,,,,73.5,,,,968,,,,,,,,,,,,,,,,57.6
"610,093",NEIL,Jane A Neil Elementary School,Neighborhood,ES,AVERAGE,64,40,BELOW AVERAGE,18,9,PARTIALLY ORGANIZED,99.9,82.2,94,80.9,< 30%,1,1,52,99,71,99,4,6,32,61,69,96,42,5,1,10,14,40,74,21,5,3,4,1,8,47,NEUTRAL,WEAK,STRONG,WEAK,NEUTRAL,WEAK,1,0.4,5.8,2.2,1.4,16.3,2.3 days,2.0 days,2.0 days,90.6,89.4,92.8,89.1,89.4,90.1,,,,,,,,,,,73.5,,,,73.5,,,,968,,,,,,,,,,,,,,,16.6,60.2
"610,352",DURKIN PARK,Durkin Park Elementary School,Neighborhood,ES,ABOVE AVERAGE,70,72,ABOVE AVERAGE,71,57,WELL ORGANIZED,99,82.2,82,80.9,< 30%,99,45,26,54,79,59,99,6,24,95,63,71,20,91,69,52,68,73,89,17,91,49,35,78,45,68,STRONG,NEUTRAL,NEUTRAL,STRONG,STRONG,NEUTRAL,1.6,2.4,5.8,39.3,53.1,16.3,2.6 days,1.8 days,2.0 days,95.7,94.9,92.8,90.5,90.5,90.1,,,,,,,,,,,73.5,,,,73.5,,,,968,,,,,,,,,,,,,,,10.4,13.5
"610,123",PENN,William Penn Elementary School,Neighborhood,ES,BELOW AVERAGE,40,4,BELOW AVERAGE,20,14,WELL ORGANIZED,87.2,82.2,60,80.9,36,99,7,98,8,21,5,99,1,4,18,1,1,1,31,28,28,21,40,42,1,23,10,15,9,35,34,STRONG,STRONG,VERY STRONG,NEUTRAL,NEUTRAL,WEAK,1.9,2.2,5.8,15.9,19.5,16.3,3.3 days,3.0 days,2.0 days,95.5,94.5,92.8,89.3,88.4,90.1,,,,,,,,,,,73.5,,,,73.5,,,,968,,,,,,,,,,,,,,,28.1,39.3
