RCDTS,School_Name,City,ELA_Proficiency_Total_PC,ELA_Proficiency_Low_Income_PC,Math_Proficiency_Total_PC,Math_Proficiency_Low_Income_PC,ELA_Growth_All_PC,ELA_Growth_Low_Income_PC,Math_Growth_Low_Income_PC,ELA_Participation_Total_Student_PC,ELA_Participation_Total_Low_Income_PC,ELA_Proficiency_Male_PC,ELA_Proficiency_Female_PC,Math_Proficiency_Male_PC,Math_Proficiency_Female_PC,Math_Participation_Total_Student_PC,Math_Participation_Low_Income_PC
"""10010010260000""",,Payson,31.7,26.4,19.8,12.6,45.1,44,38.7,100,100,24.8,39.7,15.8,24.4,100,100
"""10010010260001""",Seymour High School,Payson,32.3,27.3,23.8,16.9,31.6,30.8,32.8,100,100,23.9,42.9,19.7,29.1,100,100
"""10010010262002""",Seymour Elementary School,Payson,31.5,26.1,16.9,9.7,54.4,53.1,42.7,100,100,25.9,37.5,12.8,21.3,100,100
"""10010020260000""",,Liberty,41.9,23.7,40.3,23.7,48.6,47.9,56.4,96.1,93.8,36.4,48.5,40.1,40.4,96.1,93.8
"""10010020260001""",Liberty High School,Liberty,41.5,19.1,32.6,19.1,49.9,52.3,58.2,94.4,90.9,33.7,50,29.7,35.5,94.4,90.9
"""10010020262002""",Liberty Elementary School,Liberty,42.6,27.9,46.9,27.9,48.4,47.6,55.9,97.6,95.6,38.6,47.2,48.9,44.5,97.6,95.6
"""10010030260000""",,Camp Point,33.3,23.3,27.6,20.7,55.5,55.1,58.5,99.4,98.7,27.6,39.7,32.1,22.4,99.4,98.7
"""10010030260001""",Central High School,Camp Point,32.7,22.2,28.8,22.2,,,,100,100,27.3,42.1,30.3,26.3,100,100
"""10010030261001""",Central Junior High School,Camp Point,44.2,31.9,33.2,25.7,61,59.7,62.6,99.3,98.6,35.6,54.4,36.2,29.6,99.3,98.6
"""10010030262003""",Central Elementary Grade School,Camp Point,,,,,,,,,,,,,,,
"""10010030262008""",Central 3-4 Middle School,Golden,11.5,5.8,16,10.1,34.5,37.8,42.4,99.2,98.6,9.8,12.9,24.6,8.6,99.2,98.6
"""10010040260000""",,Mendon,38.2,22.1,22.3,11.6,54.4,47.2,48.8,99.4,99,34,43,22.7,21.8,99.4,99
"""10010040260001""",Unity High School,Mendon,35.1,23.1,26.3,15.4,,,,100,100,34.6,35.5,38.5,16.1,100,100
"""10010040262006""",Unity Elementary School,Mendon,45.7,,28.3,,,,,97.9,,43.5,47.8,34.8,21.7,97.9,
"""10010040262007""",Unity Middle School,Mendon,37.6,22.5,20.4,11.3,54.4,47.2,48.8,99.6,100,32.6,44.1,18.1,23.4,99.6,100
"""10011720220000""",,Quincy,23.5,14.5,23.2,13.6,40.6,39.2,42.6,99.1,98.6,18.8,28.3,23.7,22.6,99.2,98.8
"""10011720220003""",Quincy Sr High School,Quincy,29.7,16.3,23.1,11.6,,,,97.6,95.5,27.6,31.7,24.1,22.1,97.6,95.5
"""10011720221003""",Quincy Jr High School,Quincy,20.4,11.3,18.1,9.2,32.9,31.7,37.4,98.8,98.1,14.9,25.8,19.2,17,99,98.5
"""10011720222004""",Sarah Atwater Denman Elementary School Site 2,Quincy,20.3,17.7,21.3,22.2,,,,98.7,98.4,14.7,25,20,22.5,100,100
"""10011720222006""",Colonel George Iles Elementary School,Quincy,26.6,27.7,32.8,25.5,,,,100,100,27.8,25,36.1,28.6,100,100
"""10011720222007""",Thomas S Baldwin Elementary School Site 1,Quincy,25,15.8,35,21.1,,,,100,100,19,31.6,31,39.5,100,100
"""10011720222008""",Sarah Atwater Denman Elementary Site 1,Quincy,12.5,16.1,12.5,9.7,,,,100,100,6.3,16.7,18.8,8.3,100,100
"""10011720222009""",Thomas S Baldwin Elementary School Site 2,Quincy,28.6,22.5,36.3,22.5,,,,100,100,26.1,31.1,37,35.6,100,100
"""10011720222016""",Lincoln-Douglas Elementary School,Quincy,35,23.8,33.3,19,,,,100,100,35.7,34.4,42.9,25,100,100
"""10011720222017""",Dr. Abby Fox Rooney Elementary School,Quincy,14.1,11.3,14.1,12.9,,,,100,100,13.9,14.3,13.9,14.3,100,100
"""10011720222019""",Baldwin Intermediate,Quincy,25.8,16.2,28.9,17.4,52,49,49.7,99.9,99.8,20.1,31.6,28.3,29.5,99.8,99.7
"""10050010260000""",,Mount Sterling,29.8,28.2,19.7,18.3,45.7,45.7,45.7,99.7,99.7,25,34,19.8,19.7,99.7,99.7
"""10050010260001""",Brown County High School,Mount Sterling,44.2,33.2,32.6,22.2,,,,97.7,94.7,45.8,42.1,37.5,26.3,97.7,94.7
"""10050010261002""",Brown County Middle School,Mount Sterling,25.2,25.3,11.5,11.6,45.9,45.9,42.1,100,100,15.2,33.6,7.1,15.3,100,100
"""10050010262002""",Brown County Elementary School,Mount Sterling,33.7,33.7,31.7,31.7,43.7,43.7,64,100,100,35.4,32.1,37.5,26.8,100,100
"""10090150260000""",,Beardstown,9.8,8.7,7,6.9,48.1,48.6,44.3,99.2,98.9,6.2,13.9,7.8,6.2,99.2,99
"""10090150260007""",Beardstown Jr/Sr High School,Beardstown,9.7,8.4,5.1,5.4,48,48.7,43.2,99.4,99.2,5.3,14.6,5.2,5,99.5,99.3
"""10090150262003""",Gard Elementary School,Beardstown,9.8,9.1,11.8,10.1,48.5,48.2,47.6,98.6,98.2,7.9,12.1,13.6,9.7,98.6,98.2
"""10090150263002""",Grand Ave Sch,Beardstown,,,,,,,,,,,,,,,
"""10090640260000""",,Virginia,37.3,32.5,24.5,20.7,54.7,51.9,53.1,100,100,20.8,51.9,17.8,30.5,100,100
