RCDTS,Type,School_Name,District,City,County,District_Type,District_Size,School_Type,Grades_Served,Summative_Designation,State_Senate_District,State_Representative_District,Student_Enrollment_Total,Student_Enrollment_Low_Income_PC,Student_Enrollment_Homeless_PC,Total_Number_of_School_Days,Student_Attendance_Rate,Student_Attendance_Rate_Male,Student_Attendance_Rate_Female,Student_Chronic_Truancy_Rate,High_School_Dropout_Rate_Total,High_School_Dropout_Rate_Low_Income,High_School_4_Year_Graduation_Rate_Total,High_School_4_Year_Graduation_Rate_Low_Income,High_School_5_Year_Graduation_Rate_Total,High_School_5_Year_Graduation_Rate_Low_Income,High_School_6_Year_Graduation_Rate_Total,High_School_6_Year_Graduation_Rate_Low_Income,Avg_Class_Size_High_School,Avg_Class_Size_All_Grades,Min_per_Day_Math_Grade_3,Min_per_Day_Math_Grade_6,Min_per_Day_Math_Grade_8,Min_per_Day_Science_Grade_3,Min_per_Day_Science_Grade_6,Min_per_Day_Science_Grade_8,Min_per_Day_English_Grade_3,Min_per_Day_English_Grade_6,Min_per_Day_English_Grade_8,Min_per_Day_Social_Sciences_Grade_3,Min_per_Day_Social_Sciences_Grade_6,Min_per_Day_Social_Sciences_Grade_8,Avg_Number_of_days_of_Physical_Education_Per_Week_Per_Student,Avg_Teaching_Exp,Bachelor_Degree,Masters_Degree,Pupil_Teacher_Ratio_Elementary,Pupil_Teacher_Ratio_High_School,Pupil_Certified_Staff_Ratio,Pupil_Admin_Ratio,Teacher_Avg_Salary,Admin_Avg_Salary,Teacher_Evaluation_Rate,Teacher_Retention_Rate,Principal_Turnover_within_6_Years,PC_8th_Grade_passing_Algebra_1,Chronic_Absenteeism,Chronic_Absenteeism_Low_Income
"""10010010260000""",District,,Payson CUSD 1,Payson,Adams,UNIT,MEDIUM,,,,,,559,48.8,,173,95.6,96.1,95.8,4,,,97.6,91.7,97,90.9,81.8,,13,17,60,80,44,12,50,44,140,60,88,12,50,44,5,11.5,56.3,43.8,21.4,8.9,10,139.8,36085.63,72141.72,96.2,92.9,3,53.3,7.7,12.4
"""10010010260001""",School,Seymour High School,Payson CUSD 1,Payson,Adams,UNIT,MEDIUM,HIGH SCHOOL,7 8 9 10 11 12,Commendable,47,94,246,43.9,,173,95.1,95.2,94.9,7,0,0,97.6,91.7,97,90.9,81.8,,13,16,,,44,,,44,,,88,,,44,5,,,,,,,,,,,90.6,2,53.3,12,21.6
"""10010010262002""",School,Seymour Elementary School,Payson CUSD 1,Payson,Adams,UNIT,MEDIUM,ELEMENTARY,PK K 1 2 3 4 5 6,Commendable,47,94,311,52.7,,174,96.1,96.8,96.6,1.5,,,,,,,,,,19,60,80,,12,50,,140,60,,12,50,,5,,,,,,,,,,,95,3,,4,5.8
"""10010020260000""",District,,Liberty CUSD 2,Liberty,Adams,UNIT,MEDIUM,,,,,,602,24.9,,176,95.6,95.9,95.4,0.9,0.5,,100,,85.7,66.7,97.8,90.9,22,20,60,48,45,12,48,45,180,96,90,18,48,45,3,13.5,41.9,58.1,14.8,18.4,8.8,200.7,41534.22,83605.24,90.3,91.5,2,20,1.6,5
"""10010020260001""",School,Liberty High School,Liberty CUSD 2,Liberty,Adams,UNIT,MEDIUM,HIGH SCHOOL,7 8 9 10 11 12,Commendable,47,94,281,22.4,,176,95,95.1,94.9,1.1,0.5,0,100,,85.7,66.7,97.8,90.9,22,20,,,45,,,45,,,90,,,45,3,,,,,,,,,,,84.8,2,20.4,2.5,7.8
"""10010020262002""",School,Liberty Elementary School,Liberty CUSD 2,Liberty,Adams,UNIT,MEDIUM,ELEMENTARY,PK K 1 2 3 4 5 6,Commendable,47,94,318,26.7,,176,96.2,96.7,95.8,0.7,,,,,,,,,,20,60,48,,12,48,,180,96,,18,48,,3,,,,,,,,,,,94.5,1,,0.7,2.6
"""10010030260000""",District,,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,,,,,,874,46.7,,175,94.8,94.6,95,3.3,1.2,2.9,96.8,92.6,96.8,95,92.9,88.5,15,19,60,60,47,30,47,47,72,94,94,20,47,47,5,12.5,42.9,57.1,16.9,13.8,12.2,145.7,47686.51,75068.5,96.8,81.3,1,,13,19.6
"""10010030260001""",School,Central High School,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,HIGH SCHOOL,9 10 11 12,Commendable,47,94,245,42,,175,93.8,93.9,93.8,6.4,1.2,2.9,96.8,92.6,96.8,95,95.6,88.5,15,15,,,,,,,,,,,,,5,,,,,,,,,,,83.7,1,,11.9,19.6
"""10010030261001""",School,Central Junior High School,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,MIDDLE SCHL,5 6 7 8,Exemplary,47,94,278,50,,175,95.4,95.1,95.8,3.6,,,,,,,,,,22,,60,47,,47,47,,94,94,,47,47,5,,,,,,,,,,,71.7,1,,8,12.5
"""10010030262003""",School,Central Elementary Grade School,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,ELEMENTARY,PK K 1 2,Commendable,47,94,210,43.8,,175,94.5,94.4,94.7,1.5,,,,,,,,,,22,,,,,,,,,,,,,5,,,,,,,,,,,86.4,1,,13.2,22.6
"""10010030262008""",School,Central 3-4 Middle School,Central CUSD 3,Golden,Adams,UNIT,MEDIUM,ELEMENTARY,3 4,Commendable,47,94,134,53,,176,95.6,95.1,96,0,,,,,,,,,,23,60,,,30,,,72,,,20,,,5,,,,,,,,,,,85.7,2,,25,25.4
"""10010040260000""",District,,CUSD 4,Mendon,Adams,UNIT,MEDIUM,,,,,,674,20.2,,174,94.9,95,94.9,2.1,,,98.1,91.7,91.7,94.1,94.2,92.9,11,18,45,48,48,45,48,48,90,96,96,45,48,48,5,14.1,61.3,38.7,20.4,13.9,9.9,134.8,40254.81,83692,100,89.7,1,87.8,12.5,17.7
"""10010040260001""",School,Unity High School,CUSD 4,Mendon,Adams,UNIT,MEDIUM,HIGH SCHOOL,9 10 11 12,Commendable,47,94,209,27.3,,174,94.2,94.4,94.1,2.9,0,0,98.1,91.7,91.7,94.1,94.2,92.9,11,11,,,,,,,,,,,,,5,,,,,,,,,,,83.7,1,,17.3,18.9
"""10010040262006""",School,Unity Elementary School,CUSD 4,Mendon,Adams,UNIT,MEDIUM,ELEMENTARY,PK K 1 2 3,Commendable,47,94,213,,,174,94.9,94.8,95.1,2,,,,,,,,,,23,45,,,45,,,90,,,45,,,5,,,,,,,,,,,91.9,1,,11,18.3
"""10010040262007""",School,Unity Middle School,CUSD 4,Mendon,Adams,UNIT,MEDIUM,ELEMENTARY,4 5 6 7 8,Underperforming,47,94,250,30,,174,95.5,95.6,95.5,1.6,,,,,,,,,,23,,48,48,,48,48,,96,96,,48,48,5,,,,,,,,,,,96.7,1,87.8,9.9,16.5
"""10011720220000""",District,,Quincy SD 172,Quincy,Adams,UNIT,LARGE,,,,,,6469,60.7,1,176,92.8,93,92.6,13.7,1.8,3,87.5,78.9,88.6,86.5,92.6,87.1,20,18,64,44,44,28,44,44,162,88,88,26,44,44,3,12,56.9,42.6,18.8,22,9.7,205.4,45089.41,82764.57,99.6,73.6,2,22,19,26.6
"""10011720220003""",School,Quincy Sr High School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,HIGH SCHOOL,9 10 11 12,Underperforming,47,94,1753,50.3,1.3,176,89.8,90,89.6,20.7,1.8,3.1,88.7,79.6,89.2,86.9,93.4,87.6,20,20,,,,,,,,,,,,,5,,,,,,,,,,,81.9,3,,31.3,47.5
"""10011720221003""",School,Quincy Jr High School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,MIDDLE SCHL,6 7 2008,Lowest Performing,47,94,1400,56.7,0.9,176,92.7,92.8,92.6,14.6,,,,,,,,,,17,,44,44,,44,44,,88,88,,44,44,5,,,,,,,,,,,68.5,1,22.3,20.2,29.9
