RCDTS,School Name,City,SAT Reading Total Students Level 1 PC,SAT Reading Total Students Level 2 PC,SAT Reading Total Students Level 3 PC,SAT Reading Total Students Level 4 PC,SAT Math Total Students Level 1 PC,SAT Math Total Students Level 2 PC,SAT Math Total Students Level 3 PC,SAT Math Total Students Level 4 PC,SAT Reading Total Low Income Students Level 1 PC,SAT Reading Total Low Income Students Level 2 PC,SAT Reading Total Low Income Students Level 3 PC,SAT Reading Total Low Income Students Level 4 PC,SAT Math Total Low Income Students Level 1 PC,SAT Math Total Low Income Students Level 2 PC,SAT Math Total Low Income Students Level 3 PC,SAT Math Total Low Income Students Level 4 PC,Total Students SAT Math Participation PC,Low Income Students SAT Math Participation PC,Total Students SAT ELA Participation PC,Low Income Students SAT ELA Participation PC
1.00E+13,,Payson,17.1,40,28.6,14.3,40,28.6,28.6,2.9,21.4,28.6,42.9,7.1,35.7,21.4,35.7,7.1,100,100,100,100
1.00E+13,Seymour High School,Payson,17.1,40,28.6,14.3,40,28.6,28.6,2.9,21.4,28.6,42.9,7.1,35.7,21.4,35.7,7.1,100,100,100,100
1.00E+13,Seymour Elementary School,Payson,,,,,,,,,,,,,,,,,,,,
1.00E+13,,Liberty,19.6,43.5,34.8,2.2,32.6,41.3,21.7,4.3,40,50,10,0,70,30,0,0,100,100,100,100
1.00E+13,Liberty High School,Liberty,19.6,43.5,34.8,2.2,32.6,41.3,21.7,4.3,40,50,10,0,70,30,0,0,100,100,100,100
1.00E+13,Liberty Elementary School,Liberty,,,,,,,,,,,,,,,,,,,,
1.00E+13,,Camp Point,28.8,38.5,28.8,3.8,32.7,38.5,26.9,1.9,33.3,44.4,22.2,0,33.3,44.4,22.2,0,100,100,100,100
1.00E+13,Central High School,Camp Point,28.8,38.5,28.8,3.8,32.7,38.5,26.9,1.9,33.3,44.4,22.2,0,33.3,44.4,22.2,0,100,100,100,100
1.00E+13,Central Junior High School,Camp Point,,,,,,,,,,,,,,,,,,,,
1.00E+13,Central Elementary Grade School,Camp Point,,,,,,,,,,,,,,,,,,,,
1.00E+13,Central 3-4 Middle School,Golden,,,,,,,,,,,,,,,,,,,,
1.00E+13,,Mendon,17.9,46.4,21.4,14.3,30.4,42.9,25,1.8,30.8,46.2,7.7,15.4,53.8,30.8,7.7,7.7,100,100,100,100
