"RCDTS","Type","School_Name.x","District","City.x","County","District_Type","District_Size","School_Type.x","Grades_Served","Summative_Designation","State_Senate_District","State_Representative_District","Student_Enrollment_Total","Student_Enrollment_Low_Income_PC","Student_Enrollment_Homeless_PC","Total_Number_of_School_Days","Student_Attendance_Rate","Student_Attendance_Rate_Male","Student_Attendance_Rate_Female","Student_Chronic_Truancy_Rate","Avg_Class_Size_All_Grades","Min_per_Day_Math_Grade_3","Min_per_Day_Math_Grade_6","Min_per_Day_Math_Grade_8","Min_per_Day_Science_Grade_3","Min_per_Day_Science_Grade_6","Min_per_Day_Science_Grade_8","Min_per_Day_English_Grade_3","Min_per_Day_English_Grade_6","Min_per_Day_English_Grade_8","Min_per_Day_Social_Sciences_Grade_3","Min_per_Day_Social_Sciences_Grade_6","Min_per_Day_Social_Sciences_Grade_8","Avg_Number_of_days_of_Physical_Education_Per_Week_Per_Student","Teacher_Retention_Rate","Principal_Turnover_within_6_Years","PC_8th_Grade_passing_Algebra_1","Chronic_Absenteeism","Chronic_Absenteeism_Low_Income","School_Name.y","City.y","ELA_Proficiency_Total_PC","ELA_Proficiency_Low_Income_PC","Math_Proficiency_Total_PC","Math_Proficiency_Low_Income_PC","ELA_Growth_All_PC","ELA_Growth_Low_Income_PC","Math_Growth_Low_Income_PC","ELA_Participation_Total_Student_PC","ELA_Participation_Total_Low_Income_PC","ELA_Proficiency_Male_PC","ELA_Proficiency_Female_PC","Math_Proficiency_Male_PC","Math_Proficiency_Female_PC","Math_Participation_Total_Student_PC","Math_Participation_Low_Income_PC","School_ID","Short_Name","Long_Name","School_Type.y","Primary_Category","Student_Growth_Rating","Growth_Reading_Grades_Tested_Pct_ES","Growth_Math_Grades_Tested_Pct_ES","Student_Attainment_Rating","Attainment_Reading_Pct_ES","Attainment_Math_Pct_ES","Culture_Climate_Rating","School_Survey_Student_Response_Rate_Pct","School_Survey_Student_Response_Rate_Avg_Pct","School_Survey_Teacher_Response_Rate_Pct","School_Survey_Teacher_Response_Rate_Avg_Pct","School_Survey_Parent_Response_Rate_Pct","NWEA_Reading_Growth_Grade_3_Pct","NWEA_Reading_Growth_Grade_4_Pct","NWEA_Reading_Growth_Grade_5_Pct","NWEA_Reading_Growth_Grade_6_Pct","NWEA_Reading_Growth_Grade_7_Pct","NWEA_Reading_Growth_Grade_8_Pct","NWEA_Math_Growth_Grade_3_Pct","NWEA_Math_Growth_Grade_4_Pct","NWEA_Math_Growth_Grade_5_Pct","NWEA_Math_Growth_Grade_6_Pct","NWEA_Math_Growth_Grade_7_Pct","NWEA_Math_Growth_Grade_8_Pct","NWEA_Reading_Attainment_Grade_2_Pct","NWEA_Reading_Attainment_Grade_3_Pct","NWEA_Reading_Attainment_Grade_4_Pct","NWEA_Reading_Attainment_Grade_5_Pct","NWEA_Reading_Attainment_Grade_6_Pct","NWEA_Reading_Attainment_Grade_7_Pct","NWEA_Reading_Attainment_Grade_8_Pct","NWEA_Math_Attainment_Grade_2_Pct","NWEA_Math_Attainment_Grade_3_Pct","NWEA_Math_Attainment_Grade_4_Pct","NWEA_Math_Attainment_Grade_5_Pct","NWEA_Math_Attainment_Grade_6_Pct","NWEA_Math_Attainment_Grade_7_Pct","NWEA_Math_Attainment_Grade_8_Pct","School_Survey_Involved_Families","School_Survey_Supportive_Environment","School_Survey_Ambitious_Instruction","School_Survey_Effective_Leaders","School_Survey_Collaborative_Teachers","School_Survey_Safety","Suspensions_Per_100_Students_Year_1_Pct","Suspensions_Per_100_Students_Year_2_Pct","Suspensions_Per_100_Students_Avg_Pct","Misconducts_To_Suspensions_Year_1_Pct","Misconducts_To_Suspensions_Year_2_Pct","Misconducts_To_Suspensions_Avg_Pct","Average_Length_Suspension_Year_1_Pct","Average_Length_Suspension_Year_2_Pct","Average_Length_Suspension_Avg_Pct","Student_Attendance_Year_1_Pct","Student_Attendance_Year_2_Pct","Student_Attendance_Avg_Pct","Teacher_Attendance_Year_1_Pct","Teacher_Attendance_Year_2_Pct","Teacher_Attendance_Avg_Pct","Graduation_4_Year_CPS_Pct_Year_1","Graduation_5_Year_CPS_Pct_Year_1","SAT_District_Average","Mobility_Rate_Pct","Chronic_Truancy_Pct","SCHOOL","BUDGET_1819","INCREASE","BUDGET_1718","IS_CHARTER","Expenditure_Per_Pupil_1718"
"150162990252046","School","Jackson M Elem School","City of Chicago SD 299","Chicago","Cook","UNIT","LARGE","ELEMENTARY","PK K 1 2 3 4 5 6 7 8","Commendable",14,27,346,98.3,13.3,178,94.4,94.4,94.5,45.6,23,90,60,60,50,60,60,120,60,60,30,60,60,2,80.9,3,NA,20.6,20.6,"Jackson M Elem School","Chicago",8.9,8.5,5.4,5.5,41.9,41.8,38.3,97.6,97.6,6.2,11.3,5.2,5.7,97.6,97.6,610369,"JACKSON M","Mahalia Jackson Elementary School","Neighborhood","ES",5,76,96,2,8,11,5,91,82.2,87.9,80.9,"38",34,20,99,99,56,96,94,86,56,20,99,99,3,2,7,11,6,6,45,4,10,7,5,4,20,33,4,4,5,4,4,4,17.9,5.7,5.8,27.2,18.4,16.3,"1.9 days","2.1 days","2.0 days",91.4,93.3,92.8,90.3,90.4,90.1,73.5,73.5,968,31.7,48.4,"JACKSON M","$3,069,896",3.39,"$2,969,239",0,8581.61560693642
"150162990252048","School","Green  W Elem School","City of Chicago SD 299","Chicago","Cook","UNIT","LARGE","ELEMENTARY","PK K 1 2 3 4 5 6 7 8","Commendable",14,27,365,90.7,6.6,178,96.1,95.7,96.6,31,28,90,60,60,50,60,60,120,60,60,30,60,60,5,87.5,1,NA,8.7,9.7,"Green  W Elem School","Chicago",12.6,11.5,8.9,8.9,30.7,31.3,39.8,96,95.5,6.1,20,4.4,14,96,95.5,610032,"GREEN","Wendell E Green Elementary School","Neighborhood","ES",3,56,43,3,65,44,5,92.7,82.2,85.7,80.9,"43",44,5,89,99,1,50,99,1,1,91,1,76,37,34,49,62,98,73,67,16,64,19,21,77,43,57,4,3,5,4,4,3,1.1,1.9,5.8,22.2,31.8,16.3,"2.3 days","1.7 days","2.0 days",96.1,96,92.8,88.9,89,90.1,73.5,73.5,968,14.7,34.4,"GREEN","$2,966,561",3.94,"$2,854,109",0,7819.47671232877
"150162990252051","School","Addams Elem School","City of Chicago SD 299","Chicago","Cook","UNIT","LARGE","ELEMENTARY","PK K 1 2 3 4 5 6 7 8","Commendable",13,25,714,87.8,NA,178,95.2,94.7,95.7,13.8,28,90,60,60,50,60,60,120,60,60,30,60,60,1,89.1,1,NA,12.4,13.2,"Addams Elem School","Chicago",31.7,30.2,27.3,26.3,40.9,40.7,53.5,98.2,98.2,24.1,39.8,21.9,33.2,98.5,98.2,609772,"ADDAMS","Jane Addams Elementary School","Neighborhood","ES",4,76,81,4,77,74,4,89.3,82.2,77.8,80.9,"30",44,45,57,99,87,69,40,37,82,48,97,98,56,55,64,81,88,80,90,50,57,56,74,65,81,92,3,3,4,3,3,3,0,0,5.8,0,0,16.3,"0.0 days","0.0 days","2.0 days",95.9,95.2,92.8,89.8,89.4,90.1,73.5,73.5,968,8.5,9.6,"ADDAMS","$4,907,617",1.38,"$4,840,814",0,6779.85154061625
"150162990252052","School","Agassiz Elem School","City of Chicago SD 299","Chicago","Cook","UNIT","LARGE","ELEMENTARY","PK K 1 2 3 4 5 6 7 8","Commendable",6,12,464,39.4,NA,178,95.3,95.4,95.1,7.3,24,90,60,60,50,60,60,120,60,60,30,60,60,3,88.2,3,70.2,10.5,17.2,"Agassiz Elem School","Chicago",42.7,34,29.4,20.6,44.6,43.9,51.5,84.7,85,29.9,52.9,26.7,31.5,83.4,82,609773,"AGASSIZ","Louis A Agassiz Elementary School","Neighborhood","ES",4,81,81,5,90,75,5,79.5,82.2,85.4,80.9,"55",80,96,41,93,98,30,67,99,54,91,48,45,95,82,97,93,89,73,84,73,60,98,75,88,45,67,5,5,5,4,5,5,4.2,4.4,5.8,33.8,37.9,16.3,"1.5 days","1.3 days","2.0 days",95.5,94.8,92.8,90.9,91.6,90.1,73.5,73.5,968,3.2,17.5,"AGASSIZ","$4,008,545",0.4,"$3,992,575",0,8604.6875
"150162990252053","School","Alcott Elem School","City of Chicago SD 299","Chicago","Cook","UNIT","LARGE","ELEMENTARY","PK K 1 2 3 4 5 6 7 8","Commendable",6,11,630,16.3,NA,178,95.7,95.5,95.9,11.3,26,90,60,60,50,60,60,120,60,60,30,60,60,1,NA,NA,64,9.8,22.4,"Alcott Elem School","Chicago",61.1,39.1,62.6,34.1,51.4,48.3,58.5,86.4,82.9,46.4,75.4,54.4,70.6,86.3,80.3,609774,"ALCOTT ES","Louisa May Alcott College Preparatory ES","Neighborhood","ES",5,91,78,5,98,96,2,97.6,82.2,66,80.9,"< 30%",92,73,99,87,99,22,78,3,99,86,87,36,94,99,98,98,98,99,98,91,96,85,98,97,98,98,4,3,3,2,2,4,0,0.2,5.8,0,0.5,16.3,"0.0 days","2.0 days","2.0 days",95.6,95,92.8,91,90.2,90.1,73.5,73.5,968,3.9,15,"ALCOTT ES","$4,647,066",4.65,"$4,440,579",0,7048.5380952381
"150162990252054","School","Aldridge Elem School","City of Chicago SD 299","Chicago","Cook","UNIT","LARGE","ELEMENTARY","PK K 1 2 3 4 5 6 7 8","Commendable",15,29,200,98.5,NA,178,92.4,91.9,93,60.2,21,90,60,60,50,60,60,120,60,60,30,60,60,2,53.3,1,NA,34.9,36.3,"Aldridge Elem School","Chicago",4.9,4.9,4.1,4.1,49.2,49.2,55.5,99.2,99.2,5.3,4.5,5.2,3.1,99.2,99.2,609848,"ALDRIDGE","Ira F Aldridge Elementary School","Neighborhood","ES",5,99,99,2,31,31,4,97.9,82.2,99.9,80.9,"71",99,99,96,99,99,99,99,99,90,99,99,99,10,3,17,47,42,42,78,8,37,8,35,46,14,68,3,3,3,4,4,2,5.7,8.9,5.8,6.3,23.1,16.3,"1.8 days","2.4 days","2.0 days",91.7,93.5,92.8,90.5,89.9,90.1,73.5,73.5,968,29.9,45.6,"ALDRIDGE","$1,608,494",6.54,"$1,509,756",0,7548.78
"150162990252058","School","Armour Elem School","City of Chicago SD 299","Chicago","Cook","UNIT","LARGE","ELEMENTARY","PK K 1 2 3 4 5 6 7 8","Underperforming",1,2,281,89.3,NA,178,95.4,95,95.8,15.2,8,90,60,60,50,60,60,120,60,60,30,60,60,2,72.5,3,NA,11.7,12.9,"Armour Elem School","Chicago",20.5,19.4,14.2,12.5,32.5,32.9,35.4,96.7,96.4,18.3,23.4,19,7.8,98,97.8,609777,"ARMOUR","Phillip D Armour Elementary School","Neighborhood","ES",3,56,66,3,68,50,5,94.1,82.2,69.2,80.9,"< 30%",1,78,13,46,96,72,72,99,9,39,31,92,91,70,69,44,38,54,82,81,54,71,23,24,33,67,5,3,3,5,5,2,0,0.7,5.8,0,14.3,16.3,"0.0 days","3.5 days","2.0 days",95.3,94.6,92.8,89.8,90.3,90.1,73.5,73.5,968,10,15.5,"ARMOUR","$2,196,714",10.75,"$1,983,489",0,7058.67971530249
"150162990252059","School","Armstrong G Elem IntL Studies","City of Chicago SD 299","Chicago","Cook","UNIT","LARGE","ELEMENTARY","PK K 1 2 3 4 5 6 7 8","Commendable",8,16,1419,90.9,0.8,178,96,95.7,96.3,22.7,28,90,60,60,50,60,60,120,60,60,30,60,60,2,87.9,2,21,11.1,11.7,"Armstrong G Elem IntL Studies","Chicago",37,34.7,30.3,28.5,56.5,56.5,54.3,99.7,99.6,29.8,44.8,28.6,32.1,100,100,609779,"ARMSTRONG G","George Armstrong International Studies ES","Neighborhood","ES",4,71,83,4,76,81,5,94.7,82.2,84.9,80.9,"< 30%",20,99,21,59,93,83,62,99,61,44,78,88,75,69,68,61,70,79,92,80,78,82,75,86,82,87,4,3,4,3,4,3,1.9,1.4,5.8,41.2,24.4,16.3,"1.5 days","1.8 days","2.0 days",96,95.7,92.8,90.9,90,90.1,73.5,73.5,968,13.4,19.2,"ARMSTRONG G","$9,561,094",1.81,"$9,391,115",0,6618.12191684285
"150162990252062","School","Audubon Elem School","City of Chicago SD 299","Chicago","Cook","UNIT","LARGE","ELEMENTARY","PK K 1 2 3 4 5 6 7 8","Commendable",6,11,572,19.6,NA,178,95.8,95.9,95.6,6.2,26,90,60,60,50,60,60,120,60,60,30,60,60,3,89,2,68.8,4.8,5.9,"Audubon Elem School","Chicago",30.4,24.7,28.7,18,44,39.6,45.6,59.7,69.1,27.4,33.6,29.8,27.6,62.6,73.2,609782,"AUDUBON","John J Audubon Elementary School","Neighborhood","ES",3,52,25,5,92,84,5,91.6,82.2,82.2,80.9,"< 30%",2,57,48,78,97,22,32,1,60,1,87,58,85,88,94,91,95,97,93,80,79,74,83,68,97,95,4,4,4,3,3,4,0.5,0.9,5.8,37.5,22.7,16.3,"2.3 days","1.2 days","2.0 days",95.4,95.6,92.8,91.6,91.1,90.1,73.5,73.5,968,3,11.1,"AUDUBON","$3,494,841",2.42,"$3,412,264",0,5965.4965034965
"150162990252063","School","Avalon Park Elem School","City of Chicago SD 299","Chicago","Cook","UNIT","LARGE","ELEMENTARY","PK K 1 2 3 4 5 6 7 8","Commendable",17,33,297,97,4.4,178,95,95.2,94.9,38.6,9,90,60,60,50,60,60,120,60,60,30,60,60,2,81.4,2,NA,19.7,18.9,"Avalon Park Elem School","Chicago",14.4,12.8,7.8,7.4,47.1,46.5,41.6,96.8,96.7,11.1,17.3,8.3,7.4,96.8,96.7,609786,"AVALON PARK","Avalon Park Elementary School","Neighborhood","ES",3,56,34,3,41,35,4,97,82.2,94.7,80.9,"43",5,25,74,98,44,96,9,81,91,19,3,20,34,29,14,47,69,57,63,24,16,28,51,42,44,45,3,4,5,3,3,3,1.9,2.8,5.8,13.3,26.7,16.3,"2.2 days","2.5 days","2.0 days",95.4,95.1,92.8,90,89,90.1,73.5,73.5,968,29.4,27.8,"AVALON PARK","$2,325,737",2.5,"$2,269,012",0,7639.77104377104
